participant_id,true_rule,chosen_rule,true_blicket_objects,chosen_objects,num_unique_tests,info_gain_per_test,avg_response_time,num_tests_before_qa,action_history_length,info_gain_per_action,mean_info_gain_per_action
611098e0196fa40fa49f3aeb,disjunctive,disjunctive,"[0, 3]","[0, 3]",12,"[0.32192809488736235, 0.41503749927884376, 1.584962500721156, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.172,12,40,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0, 0.0, 1.584962500721156, 0.0, 0.0, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
6122548871de12f3a454e5cb,disjunctive,disjunctive,"[2, 3]","[2, 3]",4,"[2.321928094887362, 0.0, 0.5849625007211562, 1.0]",4.236,4,14,"[0.0, 0.0, 2.321928094887362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0]",1.3022968652028395
61522983a596d0aa25117787,disjunctive,disjunctive,"[2, 3]","[2, 3]",5,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0]",7.069,5,13,"[0.0, 1.0995356735509143, 0.0, 0.0, 1.222392421336448, 0.0, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0, 0.0]",0.9767226489021297
6154973c69da7c97996a19f6,conjunctive,conjunctive,"[1, 3]","[1, 3]",15,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.019,15,47,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
6234e9c483c8aa1f1c5f046a,disjunctive,disjunctive,"[0, 3]","[0, 3]",6,"[0.32192809488736235, 0.5849625007211562, 1.0, 1.0, 1.0, 0.0]",6.846,6,16,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.7813781191217037
62740f4f578f0114e649016d,conjunctive,conjunctive,"[1, 2]","[1, 2]",5,"[0.32192809488736235, 0.41503749927884376, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0]",6.206,8,30,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0, 0.0, 0.0, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3022968652028395
628eab48a8c8dc1ecec338dd,disjunctive,disjunctive,"[0, 1]","[0, 1]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",8.707,7,18,"[0.0, 0.9068905956085185, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021297
62a0b34cbcc5987a8fa73c39,conjunctive,conjunctive,"[1, 3]",[3],2,"[0.32192809488736235, 0.12553088208385882]",5.577,2,7,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.12553088208385882]",0.22372948848561058
62a779f845a7840040d41bf8,conjunctive,conjunctive,"[1, 3]","[1, 3]",8,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0]",5.344,8,28,"[0.0, 0.09953567355091437, 0.0, 0.0, 0.10691520391651188, 0.0, 0.0, 0.11547721741993588, 0.0, 0.0, 0.12553088208385882, 0.0, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7813781191217036
62e42aaad0079d2ff8e97597,disjunctive,disjunctive,"[0, 2]","[0, 2]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",5.788,4,12,"[0.0, 0.9068905956085185, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",0.9767226489021297
